@relation 'combine_winter_dataframe-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,14,13'

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute Province_ENC numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A1 numeric

@data
121,50,23396.23,7,0,3,2,10,8,157.842976,368.275604,6,18,2.592778
122,50,6981.13,4,0,3,2,10,8,361.899844,651.857427,8,19,10.081389
123,50,12452.83,8,0,3,2,10,8,226.76859,571.82436,7,17,3.063241
124,50,15094.34,10,0,3,2,10,8,242.603886,658.1414,10,18,5.262037
125,50,7924.53,7,0,3,2,10,8,327.069246,803.409776,6,19,7.868056
126,50,5283.02,4,0,3,2,10,8,227.156374,568.657288,7,19,6.608333
132,50,3207.55,6,0,3,2,10,8,111.909046,312.942625,7,19,1.897647
134,50,14905.66,5,0,3,2,9,8,249.059696,603.472103,7,19,5.722353
135,50,3396.23,4,0,3,2,10,8,231.974443,558.12476,6,18,7.056372
136,50,12452.83,5,0,3,2,10,8,199.650042,604.935858,7,17,3.956275
140,50,16792.45,8,0,3,2,10,8,175.319471,439.016925,5,19,4.153922
141,50,14339.62,6,0,3,2,10,8,237.554003,517.497951,10,19,2.182353
142,50,16037.74,4,0,3,2,10,8,215.204334,548.344208,6,20,5.277549
143,50,13584.91,6,0,3,2,10,8,147.208457,327.324257,7,18,2.391471
145,50,13207.55,6,0,3,2,10,8,263.766644,556.70039,7,21,2.731373
149,50,7358.49,4,0,3,2,10,8,80.021607,212.72745,10,20,1.634884
153,50,21509.43,6,0,3,2,10,8,153.941253,478.495944,6,20,5.047255
155,50,13396.23,4,0,3,2,10,8,208.84285,578.552825,7,18,3.82049
158,50,10943.4,10,0,3,2,10,8,188.120057,457.320835,6,18,2.67038
159,50,13584.91,5,0,3,2,10,8,234.297327,582.070861,7,19,4.619475
161,50,9622.64,8,0,3,2,10,8,274.289192,542.417564,7,21,7.200181
167,50,4905.66,4,0,3,2,10,8,137.633893,308.328899,7,18,4.122192
233,50,19245.28,8,0,3,2,10,8,171.082778,464.54216,7,19,3.624588
240,50,16037.74,6,7,3,2,10,8,203.288027,500.616757,7,19,2.816152
243,60,19056.6,6,0,3,2,10,8,188.925107,577.702841,7,19,4.969856
259,55,14150.94,4,0,3,2,10,8,245.029701,597.888642,7,18,5.874342
260,50,12075.47,9,0,3,2,10,8,209.683973,764.414904,7,18,8.051425
280,50,4513.89,4,0,3,2,9,3,288.584118,501.130228,6,18,5.723721
283,50,23611.11,3,0,3,2,10,3,135.533296,222.180637,6,18,1.805303
284,50,7812.5,15,0,3,2,7,3,126.447352,221.295844,6,15,2.677818
292,50,2777.78,19,0,3,2,14,3,95.990266,164.059296,8,21,0.845493
298,50,13715.28,6,0,3,2,4,3,135.460564,236.60175,6,18,2.314656
300,50,5208.33,3,0,3,2,4,3,104.01908,184.713905,7,18,0.794234
301,50,7812.5,1,0,2,2,10,3,79.08666,143.201706,6,18,1.649337
302,50,7812.5,4,0,3,2,5,3,89.15215,169.245528,7,18,1.93247
311,76,0,6,0,3,2,2,3,97.454034,183.229211,7,18,1.340435
388,42,1562.5,2,0,2,2,3,0,131.860699,346.667738,6,19,3.001458
403,42,3645.83,3,5,2,2,3,0,128.591762,299.808336,7,19,3.497817
406,42,1909.72,10,0,2,2,3,0,113.080742,271.485469,6,19,2.982366
407,42,3819.44,5,0,2,1,4,0,80.375997,400.212741,5,19,3.087739
408,42,0,10,0,2,1,3,0,76.755175,395.981648,7,18,2.609121
415,42,10937.5,6,0,2,2,5,0,121.504218,258.777391,7,19,3.103308
425,99,8506.94,6,0,3,2,5,0,235.69021,599.475443,7,19,4.605576
428,42,3645.83,3,1,2,0,2,0,94.163739,244.82021,6,19,2.372677
447,48,0,3,0,2,2,3,0,190.724229,267.052778,6,18,3.065696
458,42,3645.83,1,0,2,1,3,0,94.33352,247.078553,7,18,1.595108
183,100,25889.97,6,7,3,2,2,2,1093.053672,912.481257,6,18,13.4298
185,100,7281.55,2,4,3,2,15,2,677.554454,547.684385,5,18,6.832245
196,50,2912.62,2,4,3,2,15,2,975.329081,685.154056,10,20,8.20523
198,50,13106.8,4,4,3,2,15,2,1123.502915,843.049269,7,18,9.418852
204,100,24271.84,5,4,3,2,15,2,1118.237253,816.557275,7,18,10.795609
205,100,22653.72,3,7,3,2,25,2,1114.02973,678.952377,7,18,17.718882
228,50,11488.67,2,4,3,2,15,2,659.304126,508.528061,6,20,4.983346
231,60,17799.35,6,4,3,2,40,2,1372.884027,1209.419345,6,20,10.685833
269,135,11326.86,3,7,3,2,15,2,489.535188,489.535188,9,20,6.269464
314,124,4530.74,9,4,3,6,1,3,107.593385,108.285393,6,19,1.04067
315,108,7928.8,8,4,3,4,1,3,105.822623,104.939622,6,19,1.605758
324,60,1132.69,5,4,2,4,1,3,123.50821,123.50821,6,18,1.97673
333,144,12459.55,9,4,2,6,1,3,92.549052,77.115529,6,19,0.878898
341,58,4207.12,6,4,2,6,1,3,986.719058,586.39123,8,18,10.508152
342,54,2265.37,6,4,2,6,1,3,235.525641,219.993144,5,18,4.526762
343,108,5987.06,6,4,3,1,1,3,207.499515,179.44974,8,19,2.275723
346,56,1456.31,2,4,2,4,1,3,254.455689,231.56699,6,19,4.258237
347,100,3236.25,7,4,1,4,1,3,100.546247,100.546247,6,18,0.938911
362,80,2589,5,4,2,6,1,3,103.208541,103.208541,6,18,1.477887
364,60,6634.3,10,4,2,4,1,3,187.89462,187.89462,6,18,2.068273
365,42,4530.74,6,4,2,6,1,3,128.63766,87.784016,6,19,1.614108
367,96,5663.43,11,4,1,4,1,3,471.697295,346.106207,7,19,3.728972
368,63,4692.56,6,4,2,4,1,3,156.363447,139.755896,9,18,1.456829
370,58,4530.74,4,4,2,4,1,3,107.820176,108.675581,6,18,3.003068
371,56,2912.62,5,4,2,4,1,3,76.265797,61.889871,8,18,0.86009
376,90,4207.12,8,4,0,4,1,3,97.358558,152.70531,6,18,0.858673
