@relation WDF_large_small_R

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material {Asbestos,Tiles,Plastic,Blocks,IBR/Corr.Iron/Zinc,Concrete,'Wood/Masonite board',Thatch/Grass}
@attribute water_access {'tap inside house','tap in yard','nearby river/dam/borehole','block/street taps'}
@attribute wall_material {Brick,Blocks,Asbestos,Plaster,Daub/Mud/Clay,IBR/Corr.Iron/Zinc,'Wood/Masonite board',Plastic,Concrete}
@attribute years_electrified numeric
@attribute Province {WC,KZN,EC,GP,FS,LIM,NC,NW,MP}
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
121,50,23396.23,7,Asbestos,'tap inside house',Brick,10,WC,157.842976,368.275604,6,18,5.00287
122,50,6981.13,4,Asbestos,'tap inside house',Brick,10,WC,361.899844,651.857427,8,19,9.779074
123,50,12452.83,8,Asbestos,'tap inside house',Brick,10,WC,226.76859,571.82436,7,17,7.762037
124,50,15094.34,10,Asbestos,'tap inside house',Brick,10,WC,242.603886,658.1414,10,18,7.226204
125,50,7924.53,7,Asbestos,'tap inside house',Brick,10,WC,327.069246,803.409776,6,19,8.029074
126,50,5283.02,4,Asbestos,'tap inside house',Brick,10,WC,227.156374,568.657288,7,19,8.015926
132,50,3207.55,6,Asbestos,'tap inside house',Brick,10,WC,111.909046,312.942625,7,19,4.111765
134,50,14905.66,5,Asbestos,'tap inside house',Brick,9,WC,249.059696,603.472103,7,19,7.197157
135,50,3396.23,4,Asbestos,'tap inside house',Brick,10,WC,231.974443,558.12476,6,18,8.08402
136,50,12452.83,5,Asbestos,'tap inside house',Brick,10,WC,199.650042,604.935858,7,17,4.269902
140,50,16792.45,8,Asbestos,'tap inside house',Brick,10,WC,175.319471,439.016925,5,19,6.204412
141,50,14339.62,6,Asbestos,'tap inside house',Brick,10,WC,237.554003,517.497951,10,19,4.980588
142,50,16037.74,4,Asbestos,'tap inside house',Brick,10,WC,215.204334,548.344208,6,20,9.586765
143,50,13584.91,6,Asbestos,'tap inside house',Brick,10,WC,147.208457,327.324257,7,18,5.95451
145,50,13207.55,6,Asbestos,'tap inside house',Brick,10,WC,263.766644,556.70039,7,21,4.345098
149,50,7358.49,4,Asbestos,'tap inside house',Brick,10,WC,80.021607,212.72745,10,20,2.516274
153,50,21509.43,6,Asbestos,'tap inside house',Brick,10,WC,153.941253,478.495944,6,20,7.69
155,50,13396.23,4,Asbestos,'tap inside house',Brick,10,WC,208.84285,578.552825,7,18,7.873137
158,50,10943.4,10,Asbestos,'tap inside house',Brick,10,WC,188.120057,457.320835,6,18,5.897011
159,50,13584.91,5,Asbestos,'tap inside house',Brick,10,WC,234.297327,582.070861,7,19,6.569565
161,50,9622.64,8,Asbestos,'tap inside house',Brick,10,WC,274.289192,542.417564,7,21,7.24837
167,50,4905.66,4,Asbestos,'tap inside house',Brick,10,WC,137.633893,308.328899,7,18,5.971649
233,50,19245.28,8,Asbestos,'tap inside house',Brick,10,WC,171.082778,464.54216,7,19,6.179424
240,50,16037.74,6,Tiles,'tap inside house',Brick,10,WC,203.288027,500.616757,7,19,8.37037
243,60,19056.6,6,Asbestos,'tap inside house',Brick,10,WC,188.925107,577.702841,7,19,5.24784
259,55,14150.94,4,Asbestos,'tap inside house',Brick,10,WC,245.029701,597.888642,7,18,8.104496
260,50,12075.47,9,Asbestos,'tap inside house',Brick,10,WC,209.683973,764.414904,7,18,5.635526
280,50,4513.89,4,Asbestos,'tap inside house',Brick,9,KZN,288.584118,501.130228,6,18,6.388459
283,50,23611.11,3,Asbestos,'tap inside house',Brick,10,KZN,135.533296,222.180637,6,18,3.314723
292,50,2777.78,19,Asbestos,'tap inside house',Brick,14,KZN,95.990266,164.059296,8,21,2.791844
298,50,13715.28,6,Asbestos,'tap inside house',Brick,4,KZN,135.460564,236.60175,6,18,3.292286
300,50,5208.33,3,Asbestos,'tap inside house',Brick,4,KZN,104.01908,184.713905,7,18,1.459944
301,50,7812.5,1,Asbestos,'tap in yard',Brick,10,KZN,79.08666,143.201706,6,18,2.201634
302,50,7812.5,4,Asbestos,'tap inside house',Brick,5,KZN,89.15215,169.245528,7,18,1.808356
311,76,0,6,Asbestos,'tap inside house',Brick,2,KZN,97.454034,183.229211,7,18,2.339815
388,42,1562.5,2,Asbestos,'tap in yard',Brick,3,EC,131.860699,346.667738,6,19,3.423563
403,42,3645.83,3,Plastic,'tap in yard',Brick,3,EC,128.591762,299.808336,7,19,4.133333
406,42,1909.72,10,Asbestos,'tap in yard',Brick,3,EC,113.080742,271.485469,6,19,5.279853
407,42,3819.44,5,Asbestos,'tap in yard',Blocks,4,EC,80.375997,400.212741,5,19,6.989207
408,42,0,10,Asbestos,'tap in yard',Blocks,3,EC,76.755175,395.981648,7,18,4.899016
415,42,10937.5,6,Asbestos,'tap in yard',Brick,5,EC,121.504218,258.777391,7,19,5.297152
425,99,8506.94,6,Asbestos,'tap inside house',Brick,5,EC,235.69021,599.475443,7,19,10.45211
428,42,3645.83,3,Blocks,'tap in yard',Asbestos,2,EC,94.163739,244.82021,6,19,4.44817
458,42,3645.83,1,Asbestos,'tap in yard',Blocks,3,EC,94.33352,247.078553,7,18,1.732793
183,100,25889.97,6,Tiles,'tap inside house',Brick,2,GP,1093.053672,912.481257,6,18,13.354834
196,50,2912.62,2,IBR/Corr.Iron/Zinc,'tap inside house',Brick,15,GP,975.329081,685.154056,10,20,9.152369
198,50,13106.8,4,IBR/Corr.Iron/Zinc,'tap inside house',Brick,15,GP,1123.502915,843.049269,7,18,7.501501
204,100,24271.84,5,IBR/Corr.Iron/Zinc,'tap inside house',Brick,15,GP,1118.237253,816.557275,7,18,15.761298
205,100,22653.72,3,Tiles,'tap inside house',Brick,25,GP,1114.02973,678.952377,7,18,11.347743
228,50,11488.67,2,IBR/Corr.Iron/Zinc,'tap inside house',Brick,15,GP,659.304126,508.528061,6,20,6.360431
231,60,17799.35,6,IBR/Corr.Iron/Zinc,'tap inside house',Brick,40,GP,1372.884027,1209.419345,6,20,19.230547
314,124,4530.74,9,IBR/Corr.Iron/Zinc,'tap inside house',Plaster,1,KZN,107.593385,108.285393,6,19,1.331008
315,108,7928.8,8,IBR/Corr.Iron/Zinc,'tap inside house',Daub/Mud/Clay,1,KZN,105.822623,104.939622,6,19,1.690097
324,60,1132.69,5,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,1,KZN,123.50821,123.50821,6,18,3.4024
333,144,12459.55,9,IBR/Corr.Iron/Zinc,'tap in yard',Plaster,1,KZN,92.549052,77.115529,6,19,1.1822
341,58,4207.12,6,IBR/Corr.Iron/Zinc,'tap in yard',Plaster,1,KZN,986.719058,586.39123,8,18,10.475893
342,54,2265.37,6,IBR/Corr.Iron/Zinc,'tap in yard',Plaster,1,KZN,235.525641,219.993144,5,18,6.15728
343,108,5987.06,6,IBR/Corr.Iron/Zinc,'tap inside house',Blocks,1,KZN,207.499515,179.44974,8,19,4.163817
346,56,1456.31,2,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,1,KZN,254.455689,231.56699,6,19,2.871489
347,100,3236.25,7,IBR/Corr.Iron/Zinc,'nearby river/dam/borehole',Daub/Mud/Clay,1,KZN,100.546247,100.546247,6,18,1.257553
362,80,2589,5,IBR/Corr.Iron/Zinc,'tap in yard',Plaster,1,KZN,103.208541,103.208541,6,18,2.148902
364,60,6634.3,10,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,1,KZN,187.89462,187.89462,6,18,2.231534
365,42,4530.74,6,IBR/Corr.Iron/Zinc,'tap in yard',Plaster,1,KZN,128.63766,87.784016,6,19,2.030826
367,96,5663.43,11,IBR/Corr.Iron/Zinc,'nearby river/dam/borehole',Daub/Mud/Clay,1,KZN,471.697295,346.106207,7,19,6.986306
368,63,4692.56,6,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,1,KZN,156.363447,139.755896,9,18,3.882912
370,58,4530.74,4,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,1,KZN,107.820176,108.675581,6,18,1.755777
371,56,2912.62,5,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,1,KZN,76.265797,61.889871,8,18,1.551774
376,90,4207.12,8,IBR/Corr.Iron/Zinc,'block/street taps',Daub/Mud/Clay,1,KZN,97.358558,152.70531,6,18,2.324684
378,54,1132.69,4,IBR/Corr.Iron/Zinc,'tap in yard',Daub/Mud/Clay,1,KZN,133.760732,146.982825,7,18,2.466031
464,15,6148.87,3,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,FS,78.915982,74.960162,6,19,1.789544
467,36,6472.49,4,Asbestos,'tap inside house',Blocks,3,FS,129.178381,123.710833,6,19,2.143187
468,42,3236.25,4,Asbestos,'tap inside house',Blocks,3,FS,153.135017,131.074394,8,18,2.873117
469,42,1003.24,4,Asbestos,'tap inside house',Blocks,3,FS,334.971858,268.072349,6,19,1.622885
478,36,2589,4,IBR/Corr.Iron/Zinc,'tap inside house',IBR/Corr.Iron/Zinc,2,FS,73.441228,62.726035,7,20,2.300394
481,140,9061.49,5,IBR/Corr.Iron/Zinc,'tap in yard',Brick,1,FS,91.92053,91.92053,6,17,1.325873
491,27,1132.69,5,IBR/Corr.Iron/Zinc,'tap in yard',Brick,12,FS,154.36907,125.135761,8,19,3.506826
497,15,1132.69,6,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,2,FS,135.966924,117.776399,7,20,4.119326
502,42,291.26,8,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,2,FS,315.822953,315.822953,6,18,8.533664
504,36,0,5,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,3,FS,229.445923,229.445923,6,19,7.599981
505,36,0,6,IBR/Corr.Iron/Zinc,'tap in yard',IBR/Corr.Iron/Zinc,2,FS,165.079789,165.079789,8,19,2.656647
508,175,1779.94,3,IBR/Corr.Iron/Zinc,'tap in yard',Brick,3,FS,118.527557,118.527557,6,19,3.17202
519,48,0,5,IBR/Corr.Iron/Zinc,'tap inside house',Brick,3,FS,76.221812,64.971433,7,19,1.225336
590,88,1339.29,6,IBR/Corr.Iron/Zinc,'tap in yard','Wood/Masonite board',4,EC,355.141613,306.89463,6,18,4.034899
