@relation 'WDF-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,12'

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A1 numeric

@data
5177,15,251.26,2,4,0,4,3,75.064391,76.962581,7,16,0.108379
4055,42,2010.05,2,0,3,1,7,83.410596,75.822624,9,16,0.095238
60,63,696.38,6,4,0,1,3,155.422957,164.010573,9,13,0.209696
933,54,1114.21,5,4,0,4,3,90.445929,135.879354,2,20,0.064151
1003997,32,4511.28,2,4,2,6,14,123.000927,121.287479,5,17,0.324522
12005580,44,1913.27,5,4,2,6,14,88.758044,52.051674,4,16,0.274902
1000839,72,2886.6,1,4,2,4,8,96.885111,58.228067,7,18,0.035613
1004419,800,131580.83,1,7,3,6,2,3007.126273,635.24503,7,15,15.96671
663,144,0,1,4,3,6,11,536.437505,466.25053,9,18,5.686001
12007010,42,255.1,3,4,2,6,3,440.079313,321.667638,6,19,3.042308
3066,104,12562.81,1,7,3,2,1.6,383.558985,276.36185,8,22,1.246013
1005573,400,169025.16,1,7,3,6,8,2206.797685,1326.083458,8,21,17.421374
12008639,105,5102.04,2,4,2,1,20,181.466222,130.219081,5,16,0.412607
12006338,38,4591.84,1,4,2,1,13,117.134294,76.787871,6,18,1.185141
12027368,46,1534.09,1,4,3,2,45,180.378254,169.518599,10,20,2.054422
4537,500,37688.44,4,0,3,2,10,269.025009,104.30543,8,19,1.256877
7953,18,1357.14,5,4,2,4,5,169.739243,135.283518,6,19,2.614313
12025496,113,1715.91,3,4,2,1,7,454.248698,455.003441,6,16,3.184167
12027602,36,1534.09,0,4,2,6,21,166.755691,149.526502,8,18,2.776923
3183,104,16331.66,1,7,3,6,0.667,179.391603,121.253296,8,20,1.032787
4190,42,7889.45,2,0,3,1,18,211.340676,179.554686,6,21,0.928626
5407,90,11306.53,5,7,3,6,8,1075.593932,1035.703105,6,20,11.881204
12003435,46,404.31,2,4,2,6,7,549.433466,514.765601,5,19,2.299509
1006008,120,330.19,5,4,0,6,10,757.16744,354.207288,7,20,6.869423
12003929,22,5498.65,3,4,2,6,14,204.962304,182.203344,6,18,1.467045
1000545,38,1443.3,3,4,2,1,3,98.829422,62.709876,6,21,2.093309
1216,236,8356.55,3,4,3,6,20,892.033483,521.527431,9,19,8.673395
1005729,40,5503.14,1,0,3,6,18,147.985536,152.290035,7,22,0.406779
1000832,63,1237.11,4,4,1,1,6,105.183147,109.081904,7,19,1.141877
12024733,54,11363.64,4,0,3,6,11,299.607797,276.169265,3,19,6.62328
5416,234,21356.78,3,7,3,2,5,1000.523533,777.522951,6,20,9.152816
1005882,22,0,1,4,2,4,11,360.160827,287.916105,4,17,3.032207
10593,75,26143.79,2,7,3,6,3,334.703977,233.255177,6,22,1.474828
2377,63,753.77,1,4,0,1,2,105.316582,96.446947,9,17,0.456943
4551,220,26381.91,2,4,3,2,18,532.039049,492.326459,10,21,3.476736
1003260,49,14734.77,1,7,3,6,6,290.109789,323.073525,7,20,4.611585
12003972,39,4312.67,1,4,2,1,14,103.760126,92.455079,6,18,1.291379
4734,160,22546.42,5,7,3,6,2,508.12857,330.526546,9,18,2.274332
8476,72,1742.92,6,4,0,2,6,118.766992,98.074673,7,19,1.47902
1004405,520,122180.45,4,3,3,6,5,1124.021455,240.204997,7,16,4.76531
12006143,56,22959.18,4,0,3,6,11,300.15008,154.508973,4,20,3.605754
342,54,2265.37,6,4,2,6,1,235.525641,219.993144,5,18,4.526762
10722,320,64270.15,3,7,3,2,16,1286.150479,903.330173,8,22,9.804905
1003282,178,29469.55,4,7,3,6,10,1042.614648,837.104561,6,20,12.929952
12028100,58,13181.82,2,7,3,2,18,291.615211,254.655377,8,20,1.744355
1006341,38,1474.93,3,4,3,2,20,76.940686,104.818304,5,19,1.075577
1004478,600,131580.83,1,7,3,6,2,506.740043,281.178084,9,17,1.605653
12006299,49,5459.18,2,4,2,1,13,163.958288,96.28896,4,18,2.112284
5366,319,38944.72,4,7,3,6,7,953.150275,807.220953,7,22,7.472392
10696,450,45751.63,4,7,3,2,14,2232.760763,1212.705579,7,21,19.369821
2932,145,3183.02,5,7,3,1,19,540.786481,481.899012,8,19,5.311331
12001129,60,32531.82,6,4,3,2,45,573.494458,423.810148,6,19,3.325882
12027030,18,2238.64,4,4,2,4,15,294.128322,270.705859,6,18,2.119828
1003030,157,3064.83,5,4,2,6,11,171.621214,178.120638,6,20,2.411263
880,190,18941.5,4,7,3,2,5,1016.284744,747.376759,8,21,14.835228
883,180,36211.7,6,7,3,2,2,1384.703289,993.118431,7,21,13.051646
1004432,375,49812.03,1,7,3,6,3,2029.770198,706.650625,9,18,8.803405
4114,42,3618.09,4,0,3,1,18,509.280916,359.317746,9,19,4.95966
3139,74,15915.12,1,7,3,6,1,458.633644,435.090351,7,21,4.617308
3224,195,21220.16,4,7,3,2,2,597.081105,575.413441,7,21,7.917634
1000804,64,1443.3,5,4,2,1,4,71.637789,76.931078,6,18,0.645626
1001803,135,7459.35,6,4,2,1,10,727.774154,382.943593,4,18,6.90945
1005997,18,1761.01,3,4,0,4,2,82.218622,57.573424,5,18,1.556045
12007218,95,2755.1,5,4,2,6,5,144.719705,103.850657,6,18,1.901807
3159,74,53050.4,2,7,3,2,1,379.660614,364.389191,8,21,8.313319
3321,200,22613.07,2,7,3,2,3.5,486.947615,393.565711,6,19,12.113134
8019,120,714.29,6,4,0,2,5,251.837352,210.352203,6,19,2.26892
10621,100,13071.9,2,7,3,6,1,388.95964,262.115418,10,18,1.885767
1000607,18,721.65,0,4,2,4,6,114.112559,83.102549,6,20,2.459646
1004198,164,6240.6,6,4,2,1,11,166.275229,126.932144,6,20,1.941098
12025305,90,2909.09,3,4,2,6,5,109.49666,133.142857,9,17,0.920573
4175,56,7161.8,4,1,3,1,1,765.064224,581.756316,10,20,8.270622
5369,125,42713.57,4,7,3,6,10,1238.278874,895.102868,6,20,15.098313
5406,120,13819.1,4,7,3,6,1,866.519534,688.069993,6,19,5.715185
12002382,84,8486.56,8,4,2,1,10,149.825573,163.052751,5,19,2.176515
1006071,30,1320.75,6,4,2,5,12,266.789642,204.721917,6,18,2.111784
854,210,27855.15,4,7,3,6,9,775.683592,572.679007,8,21,7.853584
5409,160,13819.1,5,7,3,6,8,1542.761705,1070.029541,7,20,13.43856
1000696,57,7216.49,5,4,2,1,9,631.791336,680.709008,5,19,0.829764
1002562,77,3929.27,3,7,3,2,16,448.751485,358.148213,6,20,3.285561
12005779,51,255.1,1,0,3,6,21,229.960278,204.727605,6,20,2.50098
12007183,79,994.9,5,4,2,1,5,259.121211,173.993075,6,18,2.636546
4676,100,30503.98,4,7,3,6,4,635.464748,566.945052,6,18,4.983312
5036,54,3183.02,3,0,3,6,5,384.036499,242.777312,7,21,2.512508
3339,190,30150.75,3,7,3,2,1.667,470.378004,294.790932,7,18,3.555583
8417,74,566.45,4,0,2,2,7,153.453308,154.344449,6,19,2.254859
1001889,12,406.5,0,4,2,4,8,365.628115,220.223295,5,19,4.055639
12028070,104,8636.36,2,7,3,2,20,274.531716,228.37312,5,18,3.072043
7892,8,1380.95,4,4,0,1,6,118.858298,106.04906,8,18,1.092987
1004333,87,0,5,4,2,6,9,288.028729,291.594819,6,18,3.044044
12025218,191,704.55,3,7,3,2,9,222.843401,193.136686,6,18,1.788624
89,40,5849.58,7,4,2,5,2,96.779935,78.841109,6,20,1.451979
3262,180,26525.2,2,7,3,2,1,832.277363,805.195418,8,21,4.114416
3292,159,21220.16,2,7,3,2,2,600.064289,455.525136,7,21,5.432468
5353,130,16331.66,5,7,3,6,5,737.474892,602.435543,6,18,3.650016
7162,80,13095.24,2,7,3,6,1,398.373276,380.955727,7,22,1.879083
10511,54,1416.12,5,7,3,6,2,184.900273,195.062885,7,16,0.523891
