@relation WDF

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
121,50,23396.23,7,0,3,2,10,157.842976,368.275604,6,18,5.00287
122,50,6981.13,4,0,3,2,10,361.899844,651.857427,8,19,9.779074
123,50,12452.83,8,0,3,2,10,226.76859,571.82436,7,17,7.762037
124,50,15094.34,10,0,3,2,10,242.603886,658.1414,10,18,7.226204
125,50,7924.53,7,0,3,2,10,327.069246,803.409776,6,19,8.029074
126,50,5283.02,4,0,3,2,10,227.156374,568.657288,7,19,8.015926
132,50,3207.55,6,0,3,2,10,111.909046,312.942625,7,19,4.111765
134,50,14905.66,5,0,3,2,9,249.059696,603.472103,7,19,7.197157
135,50,3396.23,4,0,3,2,10,231.974443,558.12476,6,18,8.08402
136,50,12452.83,5,0,3,2,10,199.650042,604.935858,7,17,4.269902
140,50,16792.45,8,0,3,2,10,175.319471,439.016925,5,19,6.204412
141,50,14339.62,6,0,3,2,10,237.554003,517.497951,10,19,4.980588
142,50,16037.74,4,0,3,2,10,215.204334,548.344208,6,20,9.586765
143,50,13584.91,6,0,3,2,10,147.208457,327.324257,7,18,5.95451
145,50,13207.55,6,0,3,2,10,263.766644,556.70039,7,21,4.345098
149,50,7358.49,4,0,3,2,10,80.021607,212.72745,10,20,2.516274
153,50,21509.43,6,0,3,2,10,153.941253,478.495944,6,20,7.69
155,50,13396.23,4,0,3,2,10,208.84285,578.552825,7,18,7.873137
158,50,10943.4,10,0,3,2,10,188.120057,457.320835,6,18,5.897011
159,50,13584.91,5,0,3,2,10,234.297327,582.070861,7,19,6.569565
161,50,9622.64,8,0,3,2,10,274.289192,542.417564,7,21,7.24837
167,50,4905.66,4,0,3,2,10,137.633893,308.328899,7,18,5.971649
233,50,19245.28,8,0,3,2,10,171.082778,464.54216,7,19,6.179424
240,50,16037.74,6,7,3,2,10,203.288027,500.616757,7,19,8.37037
243,60,19056.6,6,0,3,2,10,188.925107,577.702841,7,19,5.24784
259,55,14150.94,4,0,3,2,10,245.029701,597.888642,7,18,8.104496
260,50,12075.47,9,0,3,2,10,209.683973,764.414904,7,18,5.635526
280,50,4513.89,4,0,3,2,9,288.584118,501.130228,6,18,6.388459
283,50,23611.11,3,0,3,2,10,135.533296,222.180637,6,18,3.314723
292,50,2777.78,19,0,3,2,14,95.990266,164.059296,8,21,2.791844
298,50,13715.28,6,0,3,2,4,135.460564,236.60175,6,18,3.292286
300,50,5208.33,3,0,3,2,4,104.01908,184.713905,7,18,1.459944
301,50,7812.5,1,0,2,2,10,79.08666,143.201706,6,18,2.201634
302,50,7812.5,4,0,3,2,5,89.15215,169.245528,7,18,1.808356
311,76,0,6,0,3,2,2,97.454034,183.229211,7,18,2.339815
388,42,1562.5,2,0,2,2,3,131.860699,346.667738,6,19,3.423563
403,42,3645.83,3,5,2,2,3,128.591762,299.808336,7,19,4.133333
406,42,1909.72,10,0,2,2,3,113.080742,271.485469,6,19,5.279853
407,42,3819.44,5,0,2,1,4,80.375997,400.212741,5,19,6.989207
408,42,0,10,0,2,1,3,76.755175,395.981648,7,18,4.899016
415,42,10937.5,6,0,2,2,5,121.504218,258.777391,7,19,5.297152
425,99,8506.94,6,0,3,2,5,235.69021,599.475443,7,19,10.45211
428,42,3645.83,3,1,2,0,2,94.163739,244.82021,6,19,4.44817
458,42,3645.83,1,0,2,1,3,94.33352,247.078553,7,18,1.732793
183,100,25889.97,6,7,3,2,2,1093.053672,912.481257,6,18,13.354834
