@relation WDF

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute sigma1 numeric
@attribute sigma2 numeric
@attribute mu1 numeric
@attribute A1 numeric
@attribute sigma3 numeric
@attribute sigma4 numeric
@attribute mu2 numeric
@attribute A2 numeric

@data
121,50,23396.23,7,0,3,2,10,157.842976,368.275604,0.606061,2.105263,6,2.592778,3.529412,2.608696,18,5.00287
122,50,6981.13,4,0,3,2,10,361.899844,651.857427,1.935484,5,8,10.081389,1.818182,1.754386,19,9.779074
123,50,12452.83,8,0,3,2,10,226.76859,571.82436,1.22449,0.727273,7,3.063241,1.025641,2.857143,17,7.762037
124,50,15094.34,10,0,3,2,10,242.603886,658.1414,2.222222,3.636364,10,5.262037,1.052632,2.608696,18,7.226204
125,50,7924.53,7,0,3,2,10,327.069246,803.409776,0.675676,2,6,7.868056,3.157895,2.222222,19,8.029074
126,50,5283.02,4,0,3,2,10,227.156374,568.657288,0.655738,1.2,7,6.608333,1.290323,1.886792,19,8.015926
132,50,3207.55,6,0,3,2,10,111.909046,312.942625,0.952381,1.538462,7,1.897647,3.076923,2.564103,19,4.111765
134,50,14905.66,5,0,3,2,9,249.059696,603.472103,1.030928,0.75,7,5.722353,1.875,2,19,7.197157
135,50,3396.23,4,0,3,2,10,231.974443,558.12476,0.869565,2.702703,6,7.056372,2.4,2.5,18,8.08402
136,50,12452.83,5,0,3,2,10,199.650042,604.935858,0.714286,0.588235,7,3.956275,3.243243,1.333333,17,4.269902
140,50,16792.45,8,0,3,2,10,175.319471,439.016925,0.004016,1.025641,5,4.153922,1.666667,1.5625,19,6.204412
141,50,14339.62,6,0,3,2,10,237.554003,517.497951,2.564103,1.904762,10,2.182353,2.352941,2.222222,19,4.980588
142,50,16037.74,4,0,3,2,10,215.204334,548.344208,0.609756,1.034483,6,5.277549,2.5,1.777778,20,9.586765
143,50,13584.91,6,0,3,2,10,147.208457,327.324257,0.909091,2.564103,7,2.391471,2.380952,2.926829,18,5.95451
145,50,13207.55,6,0,3,2,10,263.766644,556.70039,1.19403,1.025641,7,2.731373,2.352941,1.578947,21,4.345098
149,50,7358.49,4,0,3,2,10,80.021607,212.72745,2.777778,2.580645,10,1.634884,3.076923,2.162162,20,2.516274
153,50,21509.43,6,0,3,2,10,153.941253,478.495944,0.502513,1.363636,6,5.047255,2.051282,1.269841,20,7.69
155,50,13396.23,4,0,3,2,10,208.84285,578.552825,1.016949,0.754717,7,3.82049,3.125,3.076923,18,7.873137
158,50,10943.4,10,0,3,2,10,188.120057,457.320835,1.5625,0.714286,6,2.67038,1.538462,2.857143,18,5.897011
159,50,13584.91,5,0,3,2,10,234.297327,582.070861,1.071429,1.578947,7,4.619475,2.608696,2.380952,19,6.569565
161,50,9622.64,8,0,3,2,10,274.289192,542.417564,0.666667,3.333333,7,7.200181,5.714286,1.935484,21,7.24837
167,50,4905.66,4,0,3,2,10,137.633893,308.328899,0.900901,0.612245,7,4.122192,2.105263,2.608696,18,5.971649
233,50,19245.28,8,0,3,2,10,171.082778,464.54216,1.612903,0.655738,7,3.624588,3.571429,2.173913,19,6.179424
240,50,16037.74,6,7,3,2,10,203.288027,500.616757,1.351351,1.5,7,2.816152,2.051282,2.564103,19,8.37037
243,60,19056.6,6,0,3,2,10,188.925107,577.702841,1.2,0.816327,7,4.969856,1.176471,1.785714,19,5.24784
259,55,14150.94,4,0,3,2,10,245.029701,597.888642,1.162791,1.73913,7,5.874342,2,1.846154,18,8.104496
260,50,12075.47,9,0,3,2,10,209.683973,764.414904,1.263158,3.589744,7,8.051425,2.222222,2.666667,18,5.635526
280,50,4513.89,4,0,3,2,9,288.584118,501.130228,1.25,1.621622,6,5.723721,1.73913,2.553191,18,6.388459
283,50,23611.11,3,0,3,2,10,135.533296,222.180637,1.075269,1.290323,6,1.805303,5.294118,3.076923,18,3.314723
292,50,2777.78,19,0,3,2,14,95.990266,164.059296,1.538462,1.6,8,0.845493,2.631579,1.071429,21,2.791844
298,50,13715.28,6,0,3,2,4,135.460564,236.60175,1.454545,2.564103,6,2.314656,4.102564,2.5,18,3.292286
300,50,5208.33,3,0,3,2,4,104.01908,184.713905,1.73913,2.051282,7,0.794234,2.5,3.076923,18,1.459944
301,50,7812.5,1,0,2,2,10,79.08666,143.201706,0.869565,1.538462,6,1.649337,3.076923,2.264151,18,2.201634
302,50,7812.5,4,0,3,2,5,89.15215,169.245528,1.492537,2.44898,7,1.93247,1.052632,2.142857,18,1.808356
311,76,0,6,0,3,2,2,97.454034,183.229211,2.978723,2,7,1.340435,2.564103,2.4,18,2.339815
388,42,1562.5,2,0,2,2,3,131.860699,346.667738,1.081081,0.759494,6,3.001458,1.777778,2.380952,19,3.423563
403,42,3645.83,3,5,2,2,3,128.591762,299.808336,1.315789,0.597015,7,3.497817,2.439024,2.564103,19,4.133333
