@relation 'WDF-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,16'

@attribute ProfileID numeric
@attribute floor_area numeric
@attribute monthly_income numeric
@attribute total_residents numeric
@attribute roof_material_ENC numeric
@attribute water_access_ENC numeric
@attribute wall_material_ENC numeric
@attribute years_electrified numeric
@attribute AMC_winter numeric
@attribute AMC_yearly numeric
@attribute mu1 numeric
@attribute A1 numeric
@attribute mu2 numeric
@attribute A2 numeric
@attribute sigma4 numeric

@data
121,50,23396.23,7,0,3,2,10,157.842976,368.275604,6,2.592778,18,5.00287,2.608696
122,50,6981.13,4,0,3,2,10,361.899844,651.857427,8,10.081389,19,9.779074,1.754386
123,50,12452.83,8,0,3,2,10,226.76859,571.82436,7,3.063241,17,7.762037,2.857143
124,50,15094.34,10,0,3,2,10,242.603886,658.1414,10,5.262037,18,7.226204,2.608696
125,50,7924.53,7,0,3,2,10,327.069246,803.409776,6,7.868056,19,8.029074,2.222222
126,50,5283.02,4,0,3,2,10,227.156374,568.657288,7,6.608333,19,8.015926,1.886792
132,50,3207.55,6,0,3,2,10,111.909046,312.942625,7,1.897647,19,4.111765,2.564103
134,50,14905.66,5,0,3,2,9,249.059696,603.472103,7,5.722353,19,7.197157,2
135,50,3396.23,4,0,3,2,10,231.974443,558.12476,6,7.056372,18,8.08402,2.5
136,50,12452.83,5,0,3,2,10,199.650042,604.935858,7,3.956275,17,4.269902,1.333333
140,50,16792.45,8,0,3,2,10,175.319471,439.016925,5,4.153922,19,6.204412,1.5625
141,50,14339.62,6,0,3,2,10,237.554003,517.497951,10,2.182353,19,4.980588,2.222222
142,50,16037.74,4,0,3,2,10,215.204334,548.344208,6,5.277549,20,9.586765,1.777778
143,50,13584.91,6,0,3,2,10,147.208457,327.324257,7,2.391471,18,5.95451,2.926829
145,50,13207.55,6,0,3,2,10,263.766644,556.70039,7,2.731373,21,4.345098,1.578947
149,50,7358.49,4,0,3,2,10,80.021607,212.72745,10,1.634884,20,2.516274,2.162162
153,50,21509.43,6,0,3,2,10,153.941253,478.495944,6,5.047255,20,7.69,1.269841
155,50,13396.23,4,0,3,2,10,208.84285,578.552825,7,3.82049,18,7.873137,3.076923
158,50,10943.4,10,0,3,2,10,188.120057,457.320835,6,2.67038,18,5.897011,2.857143
159,50,13584.91,5,0,3,2,10,234.297327,582.070861,7,4.619475,19,6.569565,2.380952
161,50,9622.64,8,0,3,2,10,274.289192,542.417564,7,7.200181,21,7.24837,1.935484
167,50,4905.66,4,0,3,2,10,137.633893,308.328899,7,4.122192,18,5.971649,2.608696
233,50,19245.28,8,0,3,2,10,171.082778,464.54216,7,3.624588,19,6.179424,2.173913
240,50,16037.74,6,7,3,2,10,203.288027,500.616757,7,2.816152,19,8.37037,2.564103
243,60,19056.6,6,0,3,2,10,188.925107,577.702841,7,4.969856,19,5.24784,1.785714
259,55,14150.94,4,0,3,2,10,245.029701,597.888642,7,5.874342,18,8.104496,1.846154
260,50,12075.47,9,0,3,2,10,209.683973,764.414904,7,8.051425,18,5.635526,2.666667
280,50,4513.89,4,0,3,2,9,288.584118,501.130228,6,5.723721,18,6.388459,2.553191
283,50,23611.11,3,0,3,2,10,135.533296,222.180637,6,1.805303,18,3.314723,3.076923
292,50,2777.78,19,0,3,2,14,95.990266,164.059296,8,0.845493,21,2.791844,1.071429
298,50,13715.28,6,0,3,2,4,135.460564,236.60175,6,2.314656,18,3.292286,2.5
300,50,5208.33,3,0,3,2,4,104.01908,184.713905,7,0.794234,18,1.459944,3.076923
301,50,7812.5,1,0,2,2,10,79.08666,143.201706,6,1.649337,18,2.201634,2.264151
302,50,7812.5,4,0,3,2,5,89.15215,169.245528,7,1.93247,18,1.808356,2.142857
311,76,0,6,0,3,2,2,97.454034,183.229211,7,1.340435,18,2.339815,2.4
388,42,1562.5,2,0,2,2,3,131.860699,346.667738,6,3.001458,19,3.423563,2.380952
403,42,3645.83,3,5,2,2,3,128.591762,299.808336,7,3.497817,19,4.133333,2.564103
406,42,1909.72,10,0,2,2,3,113.080742,271.485469,6,2.982366,19,5.279853,1.960784
407,42,3819.44,5,0,2,1,4,80.375997,400.212741,5,3.087739,19,6.989207,1.818182
408,42,0,10,0,2,1,3,76.755175,395.981648,7,2.609121,18,4.899016,2.083333
415,42,10937.5,6,0,2,2,5,121.504218,258.777391,7,3.103308,19,5.297152,2.083333
425,99,8506.94,6,0,3,2,5,235.69021,599.475443,7,4.605576,19,10.45211,2.702703
428,42,3645.83,3,1,2,0,2,94.163739,244.82021,6,2.372677,19,4.44817,2.12766
458,42,3645.83,1,0,2,1,3,94.33352,247.078553,7,1.595108,18,1.732793,3
183,100,25889.97,6,7,3,2,2,1093.053672,912.481257,6,13.4298,18,13.354834,2.608696
196,50,2912.62,2,4,3,2,15,975.329081,685.154056,10,8.20523,20,9.152369,1.428571
198,50,13106.8,4,4,3,2,15,1123.502915,843.049269,7,9.418852,18,7.501501,2.553191
204,100,24271.84,5,4,3,2,15,1118.237253,816.557275,7,10.795609,18,15.761298,2.222222
205,100,22653.72,3,7,3,2,25,1114.02973,678.952377,7,17.718882,18,11.347743,2.857143
228,50,11488.67,2,4,3,2,15,659.304126,508.528061,6,4.983346,20,6.360431,1.355932
231,60,17799.35,6,4,3,2,40,1372.884027,1209.419345,6,10.685833,20,19.230547,2.105263
314,124,4530.74,9,4,3,6,1,107.593385,108.285393,6,1.04067,19,1.331008,1.428571
315,108,7928.8,8,4,3,4,1,105.822623,104.939622,6,1.605758,19,1.690097,1.5625
324,60,1132.69,5,4,2,4,1,123.50821,123.50821,6,1.97673,18,3.4024,2.727273
333,144,12459.55,9,4,2,6,1,92.549052,77.115529,6,0.878898,19,1.1822,2.564103
341,58,4207.12,6,4,2,6,1,986.719058,586.39123,8,10.508152,18,10.475893,2.727273
342,54,2265.37,6,4,2,6,1,235.525641,219.993144,5,4.526762,18,6.15728,0.884956
343,108,5987.06,6,4,3,1,1,207.499515,179.44974,8,2.275723,19,4.163817,1.851852
346,56,1456.31,2,4,2,4,1,254.455689,231.56699,6,4.258237,19,2.871489,2.5
347,100,3236.25,7,4,1,4,1,100.546247,100.546247,6,0.938911,18,1.257553,2.083333
362,80,2589,5,4,2,6,1,103.208541,103.208541,6,1.477887,18,2.148902,2.173913
364,60,6634.3,10,4,2,4,1,187.89462,187.89462,6,2.068273,18,2.231534,2.307692
365,42,4530.74,6,4,2,6,1,128.63766,87.784016,6,1.614108,19,2.030826,2.173913
367,96,5663.43,11,4,1,4,1,471.697295,346.106207,7,3.728972,19,6.986306,2
368,63,4692.56,6,4,2,4,1,156.363447,139.755896,9,1.456829,18,3.882912,2.142857
370,58,4530.74,4,4,2,4,1,107.820176,108.675581,6,3.003068,18,1.755777,1.73913
371,56,2912.62,5,4,2,4,1,76.265797,61.889871,8,0.86009,18,1.551774,1.73913
376,90,4207.12,8,4,0,4,1,97.358558,152.70531,6,0.858673,18,2.324684,2.142857
378,54,1132.69,4,4,2,4,1,133.760732,146.982825,7,1.505528,18,2.466031,2.105263
