n_clust,som_dim,experiment_name
22,0,1200_2500
31,0,1200_2500
32,0,1200_2500
33,0,1200_2500
34,0,1200_2500
35,0,1200_2500
36,0,1200_2500
37,0,1200_2500
38,0,1200_2500
39,0,1200_2500
22,0,1200_2500
31,0,1200_2500
32,0,1200_2500
33,0,1200_2500
34,0,1200_2500
35,0,1200_2500
36,0,1200_2500
37,0,1200_2500
38,0,1200_2500
39,0,1200_2500
28,0,1200_2500
31,0,1200_2500
32,0,1200_2500
33,0,1200_2500
34,0,1200_2500
35,0,1200_2500
36,0,1200_2500
37,0,1200_2500
38,0,1200_2500
39,0,1200_2500
30,0,1200_2500
31,0,1200_2500
32,0,1200_2500
33,0,1200_2500
34,0,1200_2500
35,0,1200_2500
36,0,1200_2500
37,0,1200_2500
38,0,1200_2500
39,0,1200_2500
28,0,1200_2500
31,0,1200_2500
32,0,1200_2500
33,0,1200_2500
34,0,1200_2500
35,0,1200_2500
36,0,1200_2500
37,0,1200_2500
38,0,1200_2500
39,0,1200_2500
